img_id,absolute_clarity-vs-relative_clarity,closed_form-vs-open_form,linear_style-vs-painterly_style,multiplicity-vs-unity,planar_style-vs-recessional_style
img_01219.png,4,3.2,4.2,3.6,2
img_01220.png,3.2,3.2,4.8,4,3.6
img_01221.png,4.4,3.6,4.2,2.4,4
img_01222.png,4.6,4,4,3.2,3.2
img_01223.png,4.2,3.4,4.4,3,4.2
img_01224.png,4.2,3.8,4.8,4.4,3.4
img_01225.png,4.8,4,4.2,4.2,4.4
img_01226.png,4.4,3.8,3.8,4,3.6
img_01227.png,2.6,3.6,4.8,3.4,3
img_01228.png,3.8,4.4,4.4,3.2,4.4
img_01229.png,2.6,3.8,4.6,3.4,3.8
img_01230.png,3.8,3.8,3.6,2.8,2.2
img_01231.png,4,4,4.2,3.8,3.6
img_01232.png,3,3,4.2,3.4,1.6
img_01233.png,3.6,4.2,4.2,3,4
img_01234.png,4,3.6,4.2,3.4,3.2
img_01235.png,3.6,3.8,4.4,2.8,3
img_01236.png,3.8,3.6,3.8,3.2,3
img_01237.png,3.4,3.4,3.6,3.2,4
img_01238.png,3.6,3.8,3.6,3.2,4
img_01239.png,4,3.8,4.4,3.2,3.8
img_01240.png,4.4,2.4,3.6,4,3.4
img_01241.png,3.8,3.4,4.4,3.2,2.2
img_01242.png,4.4,2.8,4.4,3.6,3.2
img_01243.png,3.6,4.2,4.8,4,3.8
img_01244.png,3.4,3.6,3.6,3.2,3
img_01245.png,4,4.2,3.8,3.4,3.4
img_01246.png,3.2,4.2,3.6,3.6,2.6
img_01247.png,3.6,3.2,3.4,3.2,2.2
img_01248.png,3,3.4,4.2,4.4,2.6
img_01249.png,4.6,3.4,4.2,4.4,2.2
img_01250.png,4.2,4.4,4.6,3.4,3
img_01251.png,3.8,3,3.4,4.6,3.6
img_01252.png,2.8,3.2,4.4,3.6,2.6
img_01253.png,4.2,3.4,4.6,3.6,3.4
img_01254.png,3.6,3.6,4.4,3.6,3
img_01255.png,4,4.2,3.4,2.6,2.6
img_01256.png,3.2,4.2,4.6,3.2,3
img_01257.png,4.6,4.6,3.2,3.2,3.6
img_01258.png,3,2,4.4,3.8,3.6
img_01259.png,4.6,4,5,4.2,3.2
img_01260.png,5,3.4,4.2,4.2,3.4
img_01261.png,3.8,4,3,3.2,3
img_01262.png,4.6,3.6,4.8,3.2,4.2
img_01263.png,4.6,2.6,4.6,3.2,3.8
img_01264.png,4.2,3.6,3.6,4.2,3.8
img_01265.png,4.2,4,3.6,3.6,3.8
img_01266.png,3.4,3,3.8,3.8,2.8
img_01267.png,4.4,3.6,4.8,2.6,3
img_01268.png,4.2,3,3.8,3.2,2.8
img_01269.png,3.6,4,3.6,4.4,2
img_01270.png,2.8,3.2,4,2.4,3.4
img_01271.png,3.4,3,4.6,3.8,2
img_01272.png,1.8,3.2,4.2,2.6,3.2
img_01273.png,2.8,2.2,3.6,2.6,3
img_01274.png,5,3,4.6,2.8,2.2
img_01275.png,4.4,3.8,3.8,4,3
img_01276.png,5,2.8,5,3.6,3.6
img_01277.png,3,2.8,4,5,2.4
img_01278.png,3.8,2.2,3.8,3.4,1.8
img_01279.png,3.4,3.8,4,3,2.8
img_01280.png,3.6,2.6,4.4,4.4,3.8
img_01281.png,2.6,3.4,5,3.8,2.6
img_01282.png,3.8,3.6,4,3.8,1.8
img_01283.png,4.2,3.4,4,3.2,3.2
img_01284.png,4.4,3.2,2.8,2.6,2.4
img_01285.png,4.4,4.2,5,4,4
img_01286.png,4,4.2,5,4,3
img_01287.png,2.6,3.8,3,4,3
img_01288.png,3.6,4,4.8,3.6,2.2
img_01289.png,3.6,3.4,4.4,3,4.2
img_01290.png,1.8,1.8,3.8,3,3.8
img_01291.png,4.4,3.6,5,3.2,3.4
img_01292.png,3.6,2.8,4,3.2,2.8
img_01293.png,2.8,3.6,4.2,2.4,2.6
img_01294.png,2.4,3.2,4,3,2.8
img_01295.png,3.2,3.4,4.4,4,3.4
img_01296.png,3.4,3.8,3.6,2.4,2.4
img_01297.png,5,4.2,4.8,4.2,4.8
img_01298.png,3,3.6,3.4,3.6,3.4
img_01299.png,4.2,3.4,4.2,3.6,3.6
img_01300.png,4,3.4,4.8,4,2.8
img_01301.png,4,3.4,4.8,3.2,4
img_01302.png,4,4,3.8,3.6,3
img_01303.png,4.8,3.6,4.2,4.2,3.8
img_01304.png,3.2,3.8,5,3.4,2.2
img_01305.png,4.2,3,4.6,4,3.4
img_01306.png,4.2,3.6,5,4.4,4.2
img_01307.png,4.6,3.6,4.6,3.4,3
img_01308.png,2.8,3.2,4.4,4.8,3.8
img_01309.png,3.6,3.8,4.4,3.6,3.8
img_01310.png,2.6,3.6,4.2,3.2,2.8
img_01311.png,4,4.6,5,3.8,3.8
img_01312.png,3.8,3.4,4,3.8,2.2
img_01313.png,2.4,3.8,4.6,2.8,1.8
img_01314.png,4.2,3.4,5,3,2.6
img_01315.png,4,3.6,4.4,4.2,3.6
img_01316.png,4,3.4,4.6,3.2,2.6
img_01317.png,4.8,4,5,3.8,3.4
img_01318.png,4.8,3.4,4.8,2.6,3
img_01319.png,3,3.8,1.8,2.2,3
img_01320.png,3.8,3,4.4,3.6,2.6
img_01321.png,3.4,3.6,3.2,3.2,3
img_01322.png,4.6,3.8,4.2,4,2.6
img_01323.png,3.8,2.8,3.8,3.8,4
img_01324.png,2.6,3.6,3.8,3.8,3
img_01325.png,4,4,4,4,3.4
img_01326.png,2.4,3,3.4,4,3
img_01327.png,4.6,4,4.4,3.4,2.6
img_01328.png,3.6,4.4,2.6,4,3.6
img_01329.png,3.4,3.6,3.8,4.6,2.6
img_01330.png,3.6,4.2,3.4,3,3.6
img_01331.png,5,3.8,4.6,3.8,2
img_01332.png,4.4,3.6,3.4,4.2,3.4
img_01333.png,4.2,4.2,3.4,3,3.4
img_01334.png,3.2,3.8,4.6,3.4,3
img_01335.png,4,3.2,3.6,2.8,3.2
img_01336.png,4.8,3.2,4,3.8,3.8
img_01337.png,4.2,3.4,4.2,2.2,3
img_01338.png,4,3,4.8,3.8,3
img_01339.png,3.2,3.6,5,2.6,4.2
img_01340.png,3.6,3,3,3.2,2.6
img_01341.png,3,4,4.4,3.4,3.8
img_01342.png,2.8,2.4,3.2,3.8,1.6
img_01343.png,4.2,3.6,4,3.6,2.8
img_01344.png,3.8,2.6,4.4,4.4,4
img_01345.png,4,4,5,3.8,4
img_01346.png,3.4,3.2,3,3,2.2
img_01347.png,3.8,2.6,4.8,3.6,3.6
img_01348.png,4,3,4,3.4,1.8
img_01349.png,2.4,2.8,4.8,4.6,2.8
img_01350.png,3.6,3.6,4.4,4,2.6
img_01351.png,4.8,3.2,4,3.4,3
img_01352.png,3.8,3.2,3.6,3.8,2.4
img_01353.png,3,2.8,3.4,3.6,3
img_01354.png,3.2,3.6,4,4,3.4
img_01355.png,4,3.8,4.2,3.6,2.4
img_01356.png,2.8,3,4.4,3.8,2.6
img_01357.png,4.2,2.6,3.8,4,3.2
img_01358.png,4.2,3.8,4.8,3.8,4
img_01359.png,4.6,4.2,4.8,3.2,3
img_01360.png,4.2,3.4,4.4,3.6,3.2
img_01361.png,3.8,4.6,4.6,2.6,2.2
img_01362.png,2.6,2.8,4,3.4,3.2
img_01363.png,2.8,3.6,4.2,3.8,2.8
img_01364.png,3,3.6,4.8,3.6,3.8
img_01365.png,4,3.8,4.2,4,3.6
img_01366.png,4,3.8,4,3,3.4
img_01367.png,3.8,4,4.2,3.8,3.2
img_01368.png,2.8,3.2,2.6,3,3.4
img_01369.png,3.6,3.6,3,2.2,2.8
img_01370.png,4.8,4,4.2,2.8,3.4
img_01371.png,4.2,3.4,3.4,3.4,3.4
img_01372.png,4,3.4,3,2.6,2.8
img_01373.png,3.8,3.4,4.2,3.4,2
img_01374.png,4.2,3.8,4,3.8,2.4
img_01375.png,4.4,2.2,3.6,4.2,3.4
img_01376.png,4.6,3.8,4.8,3.2,3.4
img_01377.png,3.2,3.2,4.2,3,4
img_01378.png,4,2.8,4.4,4.2,3.4
img_01379.png,3.6,3.8,4.8,4,3.2
img_01380.png,4.2,2.4,3.4,2.6,3.4
img_01381.png,4.2,4,4.2,3.2,3.6
img_01382.png,4,4.2,4.2,4.2,3.6
img_01383.png,5,3,4,3.4,2.4
img_01384.png,2.6,3,5,2.6,2.8
img_01385.png,4,2.2,2.2,2.8,1.6
img_01386.png,4.6,2.6,3.8,4.2,4.4
img_01387.png,3.8,3.8,3.6,3.8,3.6
img_01388.png,3.8,2.2,4.4,2.6,2
img_01389.png,3.2,3.2,4.4,3.4,3.4
img_01390.png,3,3.4,4.2,4.4,3.4
img_01391.png,4,3,3.6,2.8,3
img_01392.png,4,3.2,4.2,3.4,2.2
img_01393.png,4,3,3.6,3.4,2.8
img_01394.png,4.6,4.4,5,4,2.4
img_01395.png,4.4,3.6,3.4,4,4.6
img_01396.png,4.6,3,4.4,4.4,2.4
img_01397.png,4.6,3.8,4.6,4,3.4
img_01398.png,3,2.6,2.8,2.2,2.2
img_01399.png,4,4.2,3.6,2.8,2.2
img_01400.png,2.2,2.6,4,3,2
img_01401.png,3.8,3.2,4.4,3.6,3.4
img_01402.png,4.6,2.8,5,4.2,4.4
img_01403.png,3.8,3.4,4.4,3.2,2.2
img_01404.png,4,3,3.8,3.4,3.4
img_01405.png,3.2,3.8,2.2,3.8,3.4
img_01406.png,4.4,3.2,4.2,4,3.2
img_01407.png,4,3.8,5,3.2,3.4
img_01408.png,2.2,3.2,4.8,4,3.4
img_01409.png,3.8,3.2,3.8,3.6,3.2
img_01410.png,4.8,4,5,3,3.8
img_01411.png,3.2,3.4,3.4,3.4,3.2
img_01412.png,3.8,4,4,3.4,3.4
img_01413.png,4,3,3.4,3.8,2
img_01414.png,4.4,3.2,4,3,2.6
img_01415.png,3.2,3.6,4.6,3.8,2.8
img_01416.png,3.6,3.2,3,3.4,2.6
img_01417.png,4.4,3,4.8,4,3.2
img_01418.png,4.2,4,5,2.8,3.8
img_01419.png,3.4,3.4,4.6,3.6,2
img_01420.png,4.2,3.2,4.8,3.8,3.4
img_01421.png,2.6,2.8,3.2,2.6,3.4
img_01422.png,4.6,3.4,3.6,3,2.8
img_01423.png,3.4,3.2,4.6,3.6,3.4
img_01424.png,4.2,3.2,4.6,3.8,4
img_01425.png,4.4,3.6,4.2,3.6,3.8
img_01426.png,4,4.4,4.2,3.8,3.6
img_01427.png,4.8,4.4,5,3.6,4
img_01428.png,3.6,2.8,3.6,4.2,1.6
img_01429.png,3.6,3.8,3.4,3.2,3
img_01430.png,3.6,4,4.6,3,3.6
img_01431.png,3.4,3.2,2.6,3.2,4
img_01432.png,3.6,3.2,4.2,4,3.4
img_01433.png,4,2,4.4,4,2.6
img_01434.png,4,2.6,4.4,3.6,3.2
img_01435.png,4,4.4,4.6,3,3.2
img_01436.png,4,4,4.4,3.8,2.8
img_01437.png,3.2,2.6,3.6,2.2,2.4
img_01438.png,4.4,3,4.6,4.2,3.8
img_01439.png,4,3.4,4.4,4.2,3.4
img_01440.png,3.2,3.2,3.2,3.2,3.6
img_01441.png,3,3.2,4.4,4.2,3
img_01442.png,4.2,4,4.2,3.6,3.4
img_01443.png,3.8,3.2,4.2,3.2,3.4
img_01444.png,3.8,3.2,4.6,3.4,4.2
img_01445.png,3.4,3.4,4,3.8,3.2
img_01446.png,3.4,3.6,3.6,3.4,3
img_01447.png,4.4,3.6,4.6,4,4.2
img_01448.png,4.2,3.4,3.6,4,2.8
img_01449.png,3.4,2.4,4.2,3.6,3.4
img_01450.png,4.2,3,4.6,3.4,3.8
img_01451.png,4.2,4.2,4.8,4.2,4
img_01452.png,4.2,4,4.8,3.4,3.6
img_01453.png,4.4,3.6,4.6,3.8,3
img_01454.png,3.4,3.8,4,3.6,3.2
img_01455.png,4.6,3,4.4,4.4,4
img_01456.png,3,3.2,2.8,2.6,3.2
img_01457.png,3.6,4,3.2,3.2,2.8
img_01458.png,3.8,3.6,4.6,3.6,3
img_01459.png,3.2,3.6,4.8,4.2,2.4
img_01460.png,1.8,2.8,4.4,2.6,2.6
img_01461.png,3.8,4.2,4.8,4.2,3.4
img_01462.png,4,4.2,3.6,3.4,2.6
img_01463.png,4,3.4,3.4,3.2,3.4
img_01464.png,3.2,3.2,4.2,4,4
img_01465.png,3.6,2.4,2.8,3.6,3
img_01466.png,4.4,3.6,2.8,3.4,2.8
img_01467.png,3.2,4,4,3.4,1.6
img_01468.png,4,3.6,3.4,3.8,4.2
img_01469.png,3.4,3.8,4.6,3.6,2.8
img_01470.png,3.2,4.2,4.4,4,3.6
img_01471.png,2.8,3.8,3.6,3.4,2.6
img_01472.png,3.8,3.4,4.4,3.4,3.6
img_01473.png,4,2.4,4.2,4,2.4
img_01474.png,3.8,4,5,3.8,4.2
img_01475.png,2.4,2.8,4,3,1.8
img_01476.png,3.8,2.6,3.2,4,2.6
img_01477.png,3.8,2.8,4.6,4,3
img_01478.png,3.4,3,3.6,2.8,3.6
img_01479.png,3.6,4,3.6,2.6,3.6
img_01480.png,4.2,3.6,3.6,3.6,4
img_01481.png,3.6,3.2,4.2,3.6,3.4
img_01482.png,3.4,3.2,4,3.4,2.8
img_01483.png,4.4,3.2,4.8,3.2,3.4
img_01484.png,3.8,3.2,3.6,4.2,3
img_01485.png,3.4,3.2,4.8,3.8,3.8
img_01486.png,4.4,3.6,4.6,4.4,4.2
img_01487.png,3.8,3.8,4.8,4,2.4
img_01488.png,3.4,3.2,3.8,3.6,3.6
img_01489.png,4,3.4,4.4,3.6,3
img_01490.png,3.8,3.2,2.6,2.6,2.6
img_01491.png,4.6,4,5,3.6,3.4
img_01492.png,4.2,3.4,4,4,2.4
img_01493.png,4.2,4,4.6,4.2,4.2
img_01494.png,4.2,3,4.8,4,2.8
img_01495.png,4,3.4,4.8,3.2,3.6
img_01496.png,2.8,4.4,4.6,2.8,2.2
img_01497.png,3.6,2.6,3.2,4,3.4
img_01498.png,4.4,3.6,3,3,3.6
img_01499.png,4,3.4,4.8,3.4,4.4
img_01500.png,4.4,4,4.8,3,3
img_01501.png,3.8,3.4,3,3.4,1.8
img_01502.png,3.8,3.2,4.2,3.6,2.6
img_01503.png,3.4,2.8,4.4,3.4,3.2
img_01504.png,3.6,1.8,4.2,3.6,2.4
img_01505.png,3.8,3.6,4.6,4,3.8
img_01506.png,3.8,2.6,3.6,3,2.8
img_01507.png,3.4,3.4,4.2,2.6,2.6
img_01508.png,3.4,2.6,4.4,3.4,3
img_01509.png,3.2,2.2,4.4,3.6,2.8
img_01510.png,4.4,3.6,4.8,4.2,3.4
img_01511.png,3,3.8,4.4,3.8,2.6
img_01512.png,4.2,2.4,4.8,4,3.2
img_01513.png,3.4,3,4.2,3.8,3.8
img_01514.png,4.4,2.6,5,4,2.4
img_01515.png,4.2,3.2,4,3.2,1.8
img_01516.png,3.6,3.6,4.4,3.8,2
img_01517.png,3.2,3,3.8,3,2.8
img_01518.png,4,3.2,4.6,3.8,3
img_01519.png,3.2,2.2,4.8,3.8,3.4
img_01520.png,3.2,3.4,4,2.6,2.8
img_01521.png,3.6,3,3,3.8,3.2
img_01522.png,2.6,3.4,3.8,2.8,3.2
img_01523.png,3.6,3.4,4.2,4,3.6
img_01524.png,4.4,3.4,4.8,3,4
img_01525.png,3.4,3,3.8,3.8,2.8
img_01526.png,3.4,3,4.2,4,3
img_01527.png,4,3.2,3.8,3.2,3.2
img_01528.png,4.6,3.2,4.4,4.6,2.6
img_01529.png,5,3.4,4.6,3.6,4.2
img_01530.png,3.8,2.8,4.6,3.2,3.6
img_01531.png,3,3.6,4.8,3.8,3.6
img_01532.png,4.4,3.6,4.6,3.4,4
img_01533.png,4.6,3.4,3.6,4,3.4
img_01534.png,4.6,3.8,4.8,4.2,3.2
img_01535.png,3.8,3.8,4.4,3.8,3.4
img_01536.png,3.4,2.8,4.2,3.2,2.8
img_01537.png,2.4,3,3.6,4.4,3
img_01538.png,4.4,3.2,4.2,3.6,2.8
img_01539.png,3.4,4.2,4.6,3.6,3.2
img_01540.png,2.8,3,4,3.6,3.2
img_01541.png,4.2,3.6,3.4,3.8,3
img_01542.png,4,2.4,4.6,3.2,3.8
img_01543.png,4,3.2,4.4,4.2,3.4
img_01544.png,3.6,3.4,4.2,3.4,3.2
img_01545.png,4.8,3.4,4.4,3.8,3.8
img_01546.png,4.8,3.4,5,4.6,2.6
img_01547.png,3.2,2.6,3.2,3.8,3.4
img_01548.png,4,3,5,3,3.2
img_01549.png,4.2,3.8,4,3,2.8
img_01550.png,4.2,4.2,5,4.2,4
img_01551.png,3.8,4,4.4,3.8,2.8
img_01552.png,3,2.6,4.4,3.4,2.6
img_01553.png,4.4,3.4,4.2,4,3.4
img_01554.png,4.4,4,4,3.4,4.2
img_01555.png,4.6,3.4,4.4,4.2,2.6
