img_id,absolute_clarity-vs-relative_clarity,closed_form-vs-open_form,linear_style-vs-painterly_style,multiplicity-vs-unity,planar_style-vs-recessional_style,set
img_00084.png,2.6,3.2,4,2.2,3.2,training
img_00085.png,3.4,3.6,2.4,3,4.4,training
img_00086.png,3.6,3.6,4.2,4.4,3.4,training
img_00087.png,1.4,2.2,1.6,2.2,3,training
img_00088.png,4.6,1.4,4.2,4.8,4.8,training
img_00089.png,2.6,2.6,2.4,2,2,training
img_00090.png,3.2,1,2.6,2.4,1.6,training
img_00091.png,1.6,2,2.6,2.4,2.2,training
img_00092.png,3.8,3.8,4.6,2.6,2.6,training
img_00093.png,1.6,2.8,2.8,1.2,2.2,training
img_00094.png,2.2,1.8,4.8,2.2,1.8,training
img_00095.png,3.2,3.2,3.2,3,3.4,training
img_00096.png,3.8,1.6,2.8,2.6,2.2,training
img_00097.png,1.2,3.2,3,2,3.6,training
img_00098.png,3.8,2,3.6,5,2.8,training
img_00099.png,5,4,3.8,4.2,3.8,training
img_00100.png,4.6,4.2,2.4,2.4,4.4,validation
img_00101.png,2.8,3,1.6,2,2,training
img_00102.png,4,3,3.2,1.8,3.8,training
img_00103.png,3.4,2.6,3.8,3.6,2.8,training
img_00104.png,1.2,2.2,4.6,3.2,2.8,training
img_00105.png,4.4,2.4,2.4,2.2,2.8,training
img_00106.png,1.4,1.6,3.4,2,2.8,training
img_00107.png,3.4,3,2.6,2.6,3.4,training
img_00108.png,2.6,1,1.4,1.4,1.6,training
img_00109.png,4,4,4,4.2,4,training
img_00110.png,4.6,4.8,4.6,4.8,4.2,training
img_00111.png,1.8,1.8,4.4,2.6,2,training
img_00112.png,3.6,2,2.6,3,1.2,training
img_00113.png,4.4,3.8,4,3.4,3.4,training
img_00114.png,4.8,4,4,4,3.8,training
img_00115.png,4,3,1.8,2.6,2,training
img_00116.png,1.6,2.8,4,3,2.2,training
img_00117.png,3.6,3,3,2,3.2,training
img_00118.png,2,2.6,5,3.4,3.2,training
img_00119.png,3.6,4.6,3.4,3,3,training
img_00120.png,4.6,4.8,4.4,2.6,3,training
img_00121.png,2.4,4,4.4,4.2,3.4,training
img_00122.png,3.6,4.8,3,4.6,3.4,training
img_00123.png,1.8,1.6,3,4,3.2,training
img_00124.png,1.2,1.8,5,2.8,1.8,training
img_00125.png,1.4,1.8,1.8,1,1.6,training
img_00126.png,1,2.4,4.6,3,3,training
img_00127.png,1.8,2.4,1.4,1.2,3.4,training
img_00128.png,2.8,2.4,3.6,1.6,3.2,training
img_00129.png,2.4,2.8,2.6,3.2,2.4,training
img_00130.png,1.4,2,4.6,3.2,1.6,training
img_00131.png,1.8,2,3.4,1.8,1.8,training
img_00132.png,4.6,1.6,4.4,2.2,3,training
img_00133.png,3.8,1.8,4.8,3.8,2.2,training
img_00134.png,2.8,2,3.6,3.6,3,training
img_00135.png,4.8,3.8,4.6,3.8,3.4,training
img_00136.png,1.2,2.6,4.2,3.4,3.2,training
img_00137.png,1.2,1.4,4,1.8,1.6,training
img_00138.png,1.8,2.4,4,2.6,2,training
img_00139.png,3.6,3.6,4.6,3.2,4,training
img_00140.png,2.6,1.8,2.8,3.2,2.6,training
img_00141.png,4.4,3.2,1.8,2.8,3.8,training
img_00142.png,4.4,4.4,4.2,3.8,4.4,training
img_00143.png,1,2.6,5,3.6,2.4,training
img_00144.png,1.2,2.2,4.6,2.4,1.2,training
img_00145.png,1,2.4,3.6,2.4,2.4,training
img_00146.png,3.8,4.2,3.6,4.2,4.8,training
img_00147.png,4.4,3.6,3.2,3.8,4.6,training
img_00148.png,1.6,2.4,4.6,3,1.6,training
img_00149.png,2.4,2.4,4.8,3,3.2,training
img_00150.png,4.8,4.2,3,4,4.4,validation
img_00151.png,3,2.6,4.6,3.2,3.6,training
img_00152.png,4.2,5,2.4,2.4,3.8,training
img_00153.png,4.2,1.6,4,4.2,2.2,training
img_00154.png,3.6,1,3.2,1.6,1.6,training
img_00155.png,3.6,4.4,3.6,2.4,3.8,training
img_00156.png,3.6,3.6,2.4,2.6,3.6,training
img_00157.png,2.4,1.8,3.6,2.4,2.4,training
img_00158.png,4,3.6,2.4,3.4,1.6,training
img_00159.png,3.6,3.8,4.6,4.4,3.4,training
img_00160.png,5,3.6,3,3.6,3.4,training
img_00161.png,3.8,3.6,1.8,2.6,1.4,training
img_00162.png,4,3.8,2.8,3,3.2,training
img_00163.png,2,1.2,2.8,2.2,1.6,training
img_00164.png,2,3.4,4.2,3.2,3,training
img_00165.png,4.4,4.2,4.8,4.8,4.2,training
img_00166.png,2,3,4.2,2.4,2.8,training
img_00167.png,4.4,2.2,4.6,2.2,2,training
img_00168.png,4.8,3.8,4.4,4,3.6,training
img_00169.png,4.4,2.4,3,3.4,2.6,training
img_00170.png,3.8,3,2.8,4,2.8,training
img_00171.png,4.4,4.6,3.6,4.8,3.6,training
img_00172.png,4.8,4.2,2.2,2.8,2,training
img_00173.png,3.8,4,3.6,4.4,3,training
img_00174.png,4.4,3,3.8,3.6,3.4,training
img_00175.png,3.6,5,4.6,3.2,3.2,training
img_00176.png,5,4.4,4.8,4.4,4.2,training
img_00177.png,4.2,3.8,2.4,2.8,3.4,training
img_00178.png,3.4,4.4,4,4.2,3,training
img_00179.png,1.8,2.8,2.8,1.4,2.8,training
img_00180.png,4.8,4,4.8,4.4,2.2,training
img_00181.png,4.6,3.4,2.6,4.2,3.6,training
img_00182.png,4.4,1,4.2,3.6,2,training
img_00183.png,4.4,1.4,3.4,3.4,4,training
img_00184.png,4.8,4.4,4.8,3.8,3.8,training
img_00185.png,1,3,1.6,2.4,3.4,training
img_00186.png,2.6,3.8,2.4,1.6,4.2,training
img_00187.png,2.6,2.8,2,1,2.6,training
img_00188.png,4.4,3.6,4,2.8,4.4,training
img_00189.png,4,3.4,1.8,2.2,2.8,training
img_00190.png,5,1.2,3.8,2.4,2.4,training
img_00191.png,5,3.6,2.8,4.2,2.4,training
img_00192.png,1.8,2.2,4.2,2.2,1.4,training
img_00193.png,3.6,3.6,3.6,4.2,3.2,training
img_00194.png,3.8,2.6,3.2,3.2,4.2,training
img_00195.png,4.8,4.2,4,4,3.8,training
img_00196.png,4.2,4.2,3.8,3.8,4,training
img_00197.png,1,2,3.4,3.8,2,training
img_00198.png,4.2,4,2.6,4,3.2,training
img_00199.png,4.4,3.2,2,1.4,2.6,training
img_00200.png,1,1,4.4,2.8,1.2,validation
img_00201.png,3.6,2.2,2.6,3.2,3.4,training
img_00202.png,5,4.8,4.2,3.8,1.6,training
img_00203.png,2,2.8,4.2,2.8,1.6,training
img_00204.png,3.4,2.6,3,3.8,3.4,training
img_00205.png,4.4,3.8,4.8,5,4,training
img_00206.png,3.4,1.4,2.6,1.8,1.2,training
img_00207.png,1.6,2.6,4.4,2.4,1.8,training
img_00208.png,5,4.8,3,4,2.8,training
img_00209.png,4.8,4.2,4,4.4,2.4,training
img_00210.png,2.8,3,3.8,3.6,1.8,training
img_00211.png,1.4,2.6,3.2,2.4,2.8,training
img_00212.png,3.8,2.2,4.8,3.6,4.2,training
img_00213.png,5,3.4,4.4,4,3.6,training
img_00214.png,4,3.2,4.4,3.8,3,training
img_00215.png,2.2,2.4,3.8,2.2,2,training
img_00216.png,1.6,2.8,3.4,1.6,2,training
img_00217.png,4.4,2.8,4.6,4,2.6,training
img_00218.png,2.2,1,2,1.6,1.4,training
img_00219.png,3.8,4.4,2,2.4,2.6,training
img_00220.png,2.6,1.2,3.2,1.6,1,training
img_00221.png,3,3.4,1.8,3,3.8,training
img_00222.png,1.6,2,3,1.8,2,training
img_00223.png,4.6,3.8,4,3.4,5,training
img_00224.png,3.8,4.8,2.8,4.2,3.6,training
img_00225.png,3.2,3.8,3.4,3.8,1.6,training
img_00226.png,4.8,3.8,3.8,4.2,4.8,training
img_00227.png,1.6,3.4,3.4,1,1.4,training
img_00228.png,5,4.4,4.2,4.4,3.8,training
img_00229.png,5,4.4,3.8,4.4,4.6,training
img_00230.png,1,2.8,4,2.6,3,training
img_00231.png,2.6,2.6,4.8,3,2.6,training
img_00232.png,2.2,1.8,2,2,3.2,training
img_00233.png,2.6,4.4,3.8,2,3,training
img_00234.png,4.6,4.4,3.2,4.4,3.4,training
img_00235.png,4.8,3.8,3.8,4.4,4.2,training
img_00236.png,4.8,3.8,4.4,4.8,4.2,training
img_00237.png,3,3.4,4.8,4.8,3,training
img_00238.png,4.2,3.2,4.6,4,3.4,training
img_00239.png,1.8,1.8,4.6,3.2,3,training
img_00240.png,5,2.6,2.8,2.4,1.8,training
img_00241.png,2,3.4,3.6,4,3,training
img_00242.png,1.8,2.6,3.8,4.6,1,training
img_00243.png,4.2,2.8,2.8,1.4,2.4,training
img_00244.png,3,4.2,3.2,3.4,3,training
img_00245.png,3.6,2.2,3,3.6,2.2,training
img_00246.png,3,3,3.8,1.2,2.8,training
img_00247.png,4,3.2,3.8,4.8,2.6,training
img_00248.png,2.8,2.6,1.8,2,1.4,training
img_00249.png,3,1.6,2.4,2,2,training
img_00250.png,4.4,3.6,2,2.8,2.4,validation
img_00251.png,4.6,4,2,1.2,3.6,training
img_00252.png,3.2,4.2,4.2,3.4,3,training
img_00253.png,1.4,2.8,3.8,3.2,1.8,training
img_00254.png,3.2,2.2,4.6,3.2,1.8,training
img_00255.png,3.8,3,4,4.2,3.6,training
img_00256.png,1.8,2.6,4.8,3.2,3,training
img_00257.png,3,1.8,4.2,3.4,3.4,training
img_00258.png,3.8,3.8,4.4,4.6,1.8,training
img_00259.png,4,3,3.4,3.6,3,training
img_00260.png,4.6,4,3.4,5,3,training
img_00261.png,1,2.4,3.4,1,3,training
img_00262.png,3.8,2.6,2.4,2.2,2.2,training
img_00263.png,2.4,1.8,4.2,2.4,1.6,training
img_00264.png,4,3.2,4,2.6,2.8,training
img_00265.png,5,4,4.4,3.8,1,training
img_00266.png,1,1.8,3.6,2.2,1.8,training
img_00267.png,4,4,3.2,2.4,3,training
img_00268.png,2.4,3.2,4.2,3.2,3.8,training
img_00269.png,4.4,2,4.4,3.4,3.4,training
img_00270.png,3.6,2.4,2,2.6,1.4,training
img_00271.png,4.2,2.6,3.8,3,2.8,training
img_00272.png,2.6,1.6,3.2,4.2,2,training
img_00273.png,4,4.8,3.6,4.6,4,training
img_00274.png,3.8,1.6,3.6,3.8,1.4,training
img_00275.png,3,2.6,2.6,3.4,2.8,training
img_00276.png,4.2,3.6,2.6,2,3,training
img_00277.png,1.8,3.2,3.6,2,1.8,training
img_00278.png,4.4,4.4,4.2,4.4,2.6,training
img_00279.png,3.6,1.2,4,2.2,2.8,training
img_00280.png,2.6,1.8,4,3.4,3.6,training
img_00281.png,4.8,3.4,4.6,4.4,2.2,training
img_00282.png,4.6,4.4,3.6,4.4,3.2,training
img_00283.png,3.6,4.6,4.4,4.2,4,training
img_00284.png,4.4,2.6,4.4,1.4,1.6,training
img_00285.png,1,1.8,2.4,3,1.8,training
img_00286.png,2.2,3.4,4.2,3.6,2.8,training
img_00287.png,5,4,3.6,4.4,4.8,training
img_00288.png,1,2.4,3.8,3,2.6,training
img_00289.png,1.4,2,3.4,1.8,1.8,training
img_00290.png,3.8,2.8,3.8,3.8,4.2,training
img_00291.png,4.2,4.6,3.8,4.8,4.2,training
img_00292.png,2,2.4,4.4,3.6,3.2,training
img_00293.png,4.2,3,3.2,3.2,2.6,training
img_00294.png,2,3.4,3.8,3.8,3,training
img_00295.png,3.4,2.8,3.8,3.4,2.8,training
img_00296.png,2.2,1.4,3.2,2.2,1.8,training
img_00297.png,3,4.4,4,4.8,3.2,training
img_00298.png,1.2,2,2.8,2,2.4,training
img_00299.png,2.8,1.6,3.4,2.2,2,training
img_00300.png,4,4.8,2.2,3.2,3,validation
img_00301.png,4,4,3.8,4,3.2,training
img_00302.png,4.6,3.6,3.6,4.2,2.6,training
img_00303.png,4.4,2.2,3.2,3.4,3.8,training
img_00304.png,1.6,2,4.6,3.4,1.4,training
img_00305.png,2.4,2.6,3.8,3.8,3.2,training
img_00306.png,3.2,1.2,3.2,2,2.6,training
img_00307.png,4.2,3.8,3.6,2.2,3.4,training
img_00308.png,1.8,3,2.8,3.6,1.8,training
img_00309.png,1,1.8,3.6,2.2,2.4,training
img_00310.png,4,4.8,3.4,4.2,4,training
img_00311.png,3.2,2,4.4,3,2,training
img_00312.png,5,3.4,4.4,4.8,3.8,training
img_00313.png,4.8,4.2,4.8,5,3.4,training
img_00314.png,3.4,2.8,2.4,3.2,3.2,training
img_00315.png,4.4,4,4.6,3.8,4,training
img_00316.png,4.4,4.2,2.8,3.4,3.2,training
img_00317.png,3,3.8,3,2.4,3.2,training
img_00318.png,4.4,3.8,5,4.6,3.6,training
img_00319.png,1,1.8,4.4,2.8,1.6,training
img_00320.png,3,2.8,1.6,2.4,2.2,training
img_00321.png,3.8,2.8,4.6,4,1.6,training
img_00322.png,1.2,2.6,3.2,2.6,2.6,training
img_00323.png,1.8,1.8,3.6,2.6,1.8,training
img_00324.png,2.6,1.8,1.8,2.4,1.6,training
img_00325.png,1.2,2.8,4.8,4,2.8,training
img_00326.png,3.6,4.4,3.2,2.2,4.2,training
img_00327.png,1.8,2.8,4.4,3,2.4,training
img_00328.png,2.4,2.6,3.8,1.2,4,training
img_00329.png,2.4,3.2,3.6,1.8,2.6,training
img_00330.png,3.4,1.2,2.2,3.2,1.2,training
img_00331.png,2,3.4,2.8,2.8,3.6,training
img_00332.png,5,4.8,4.6,3.2,3.4,training
img_00333.png,4.8,4.2,4.6,4.4,5,training
img_00334.png,2.2,2.6,2.8,2,2,training
img_00335.png,1,2.8,5,2.6,3,training
img_00336.png,3,2.8,4,2.8,1.8,training
img_00337.png,1.2,1.4,3.6,2,2.2,training
img_00338.png,3.2,2,2.8,2.6,4.8,training
img_00339.png,4.6,4.2,4.2,4.6,2.2,training
img_00340.png,1.8,2.8,2.4,1,2.2,training
img_00341.png,1.2,2,4.6,3.2,2.2,training
img_00342.png,3.6,3.4,4,3.2,4.8,training
img_00343.png,2,2.2,3,2.2,2.6,training
img_00344.png,3.6,3.8,3.2,3.4,4,training
img_00345.png,1.6,1.8,3.8,2.6,1.6,training
img_00346.png,3.8,3.6,4.8,4.6,4,training
img_00347.png,3.4,2.8,2.8,1.8,2.8,training
img_00348.png,4.2,4,3.2,3.4,3.6,training
img_00349.png,4,2.4,3,2.4,2.2,training
img_00350.png,2.6,2,4.4,1.6,1.6,validation
img_00351.png,1.6,2.8,3,2.4,2.2,training
img_00352.png,3.8,4.2,4.2,3.6,3.2,training
img_00353.png,3.2,3.2,4.6,3.6,3.4,training
img_00354.png,4.2,3.8,3.2,3.2,2,training
img_00355.png,1,1.8,3.6,1.8,1.8,training
img_00356.png,5,4.4,4.4,4,4,training
img_00357.png,2.2,2.2,2.2,2.6,4.8,training
img_00358.png,4.4,3,4.4,4.4,3.4,training
img_00359.png,5,3.4,3.8,3.4,3.4,training
img_00360.png,1.4,2.2,4.2,2,2.8,training
img_00361.png,3.4,3.8,4.8,2.8,3.6,training
img_00362.png,4.4,4.6,2.6,2.8,2.4,training
img_00363.png,4.2,4.2,3.4,2.8,4.2,training
img_00364.png,2,4.2,4.6,2.6,3.4,training
img_00365.png,4.6,4.4,4.8,4.2,3.6,training
img_00366.png,1.6,2.4,3.2,2.6,2.2,training
img_00367.png,4.2,1,3.6,2.8,1,training
img_00368.png,2,2.2,3.4,4.2,1.6,training
img_00369.png,4,4,3.8,4.2,3.2,training
img_00370.png,4.4,1.4,2.6,4,3,training
img_00371.png,2.4,1.6,4.4,3.6,3.6,training
img_00372.png,4,4,4.6,4.8,3,training
img_00373.png,4.2,1.4,2.8,1.6,1.4,training
img_00374.png,4.2,4.6,3.8,2.8,4,training
img_00375.png,3.4,2.4,4.6,4.2,2.8,training
img_00376.png,4.6,2.6,3.4,3.4,2.2,training
img_00377.png,1,2.6,4.2,3.2,3.8,training
img_00378.png,1.4,3,2.6,1.2,2.6,training
img_00379.png,1.6,3.2,5,2.6,2.2,training
img_00380.png,4.2,4,4.4,4.8,3.6,training
img_00381.png,1,2.8,2,2.2,1.8,training
img_00382.png,4,2.4,3.2,2,2.2,training
img_00383.png,1.2,2.4,4.4,2.2,2.8,training
img_00384.png,5,1.2,2.4,2.8,1,training
img_00385.png,5,3.8,4.2,5,3.6,training
img_00386.png,4.6,3,4.2,3.8,1.4,training
img_00387.png,4.8,3.6,2.6,4.2,3.4,training
img_00388.png,4.8,5,4.4,5,3.6,training
img_00389.png,4.2,2,2.4,3.2,2.6,training
img_00390.png,3.6,1.2,3.4,2.4,1,training
img_00391.png,2.6,3.4,2.8,3,4,training
img_00392.png,1.4,2.2,3.2,2.4,2.4,training
img_00393.png,4.8,4.2,3.6,4.6,3,training
img_00394.png,1.6,2,4.4,2.2,2.2,training
img_00395.png,1.2,2.8,4.4,3.8,2.2,training
img_00396.png,2.6,2.6,3.2,1,1.6,training
img_00397.png,3.6,4,2.6,1.4,2.2,training
img_00398.png,1,1.4,1.2,1.6,2.4,training
img_00399.png,1.6,4.2,4.6,3,4,training
img_00400.png,1.8,2,4.8,3,2.6,validation
img_00401.png,4.4,4.6,4,2.4,3.4,training
img_00402.png,1.4,2,3.8,4,2.4,training
img_00403.png,5,4.4,3.4,4.6,3.2,training
img_00404.png,1.6,2,4.6,2.6,2.6,training
img_00405.png,1,1.4,2.8,1,2.2,training
img_00406.png,1.8,2.4,4.8,2.6,1.8,training
img_00407.png,3.6,4.4,4.4,4,2.4,training
img_00408.png,4.2,3.6,4.2,3.6,3.6,training
img_00409.png,3.6,3.4,4,4.2,3.2,training
img_00410.png,4,1.2,2,2,3,training
img_00411.png,1.4,2.6,4.6,2.6,1.4,training
img_00412.png,4.4,4,4.2,4.2,4.4,training
img_00413.png,3.6,2.6,3.6,3,2.8,training
img_00414.png,4.2,3.4,4,3.8,3.4,training
img_00415.png,4.8,3.8,2.8,3.2,4,training
img_00416.png,4.6,4.6,4.2,4,4,training
img_00417.png,2.2,2.4,3,2.6,1.6,training
img_00418.png,1.8,1.8,2.8,3.4,1.4,training
img_00419.png,3.4,3.4,4.4,3.4,4.2,training
img_00420.png,4,3.4,3,3.2,1.4,training
img_00421.png,4.2,4.2,4.8,3.2,2.6,training
img_00422.png,4,4.8,2.4,3.4,4.6,training
img_00423.png,3.8,2.6,5,3.8,2.6,training
img_00424.png,1.2,2.8,3,1.6,3,training
img_00425.png,1.4,2,2.4,1.8,1.2,training
img_00426.png,2.2,3.2,1.8,2.4,2.4,training
img_00427.png,3.6,4.8,2,1.4,3.4,training
img_00428.png,4.2,3.6,3.6,4.8,3.2,training
img_00429.png,1,2.2,4.2,2.2,2.8,training
img_00430.png,4.6,3.2,4.4,4.2,3,training
img_00431.png,3.8,3.6,4.6,3.2,3.4,training
img_00432.png,3.6,2.2,3,3.2,2,training
img_00433.png,4.6,4,4,2.6,3.6,training
img_00434.png,4.4,3.8,3.6,3.2,3.4,training
img_00435.png,4.6,2.8,2.8,3.4,4.8,training
img_00436.png,4.6,3.4,4.2,4.8,2,training
img_00437.png,1.4,1.6,2.4,2,2.6,training
img_00438.png,1.4,2,3.2,1.8,3,training
img_00439.png,3.6,4.4,4.2,3.4,2.8,training
img_00440.png,4,1.4,3.2,3.6,2.2,training
img_00441.png,3.8,4,3.6,3.4,3.4,training
img_00442.png,1.8,3.2,3.8,2.4,4,training
img_00443.png,1,2.8,5,3.2,2.4,training
img_00444.png,2,3,4.8,2.2,2.6,training
img_00445.png,3.8,2.6,4,3.6,4,training
img_00446.png,1,3,2.2,1.6,1.4,training
img_00447.png,1.4,2.2,4.4,3,1.8,training
img_00448.png,4,4.6,4,4.8,2.2,training
img_00449.png,1.2,1.6,3.8,1.8,1.4,training
img_00450.png,4.6,4.2,4.2,3.6,4,validation
img_00451.png,4.6,4.8,4,3.4,2.8,training
img_00452.png,4.6,3.8,2.4,1.6,3.4,training
img_00453.png,4.8,3.8,4.8,3.4,3.8,training
img_00454.png,4.6,3.6,4.2,3.6,3.6,training
img_00455.png,4.6,3,2,4,3.2,training
img_00456.png,1.2,2,1.8,1.2,2.4,training
img_00457.png,4.6,3,3.4,2,1.6,training
img_00458.png,4.6,1.6,3.6,3.8,3.8,training
img_00459.png,2.2,3.6,3.6,2.8,3.4,training
img_00460.png,2.6,2,3.2,1.8,3,training
img_00461.png,4.4,3,3.2,4.4,4.2,training
img_00462.png,4,2.6,4.8,3.8,2.2,training
img_00463.png,1.8,3.2,3.6,2.2,3,training
img_00464.png,3.8,2.4,3.6,2,2.6,training
img_00465.png,4.4,4,3.4,4.8,3.4,training
img_00466.png,1,1.4,2,1,2,training
img_00467.png,5,2.4,2.6,4.2,2.8,training
img_00468.png,2,1.6,3.4,1.2,2.6,training
img_00469.png,4.8,1.8,4,4.6,3.4,training
img_00470.png,1,3.2,3,2.2,1.4,training
img_00471.png,4.8,3.2,2.8,1.4,2.8,training
img_00472.png,3.8,3.4,4.2,3.6,2.4,training
img_00473.png,4,4.8,2.2,3.8,3,training
img_00474.png,5,4.2,3.8,2.8,3.4,training
img_00475.png,1,1.8,3.6,2.6,2.4,training
img_00476.png,4.6,4.4,4.4,4.2,4,training
img_00477.png,1.6,2.8,3.4,2.2,1.6,training
img_00478.png,4.8,4.8,4.4,4.6,3.4,training
img_00479.png,1.2,2,3,2.4,2.4,training
img_00480.png,4.6,4,4.6,3.8,3.6,training
img_00481.png,5,4.6,4.8,4.2,4.6,training
img_00482.png,2.8,3.8,2.6,1.2,1.6,training
img_00483.png,1,2,2.4,1.2,1.6,training
img_00484.png,3.8,2,3,3.6,2.4,training
img_00485.png,4,4.6,2.6,3.8,2.8,training
img_00486.png,1,4.2,3.4,2.6,2.2,training
img_00487.png,4.6,4,3.6,4.4,2.4,training
img_00488.png,1.4,3,4.8,2.6,1.4,training
img_00489.png,4.8,4.2,4.6,4.6,3.6,training
img_00490.png,1.6,3.2,3.8,1.8,3,training
img_00491.png,2.4,2.8,4.8,4.2,3.2,training
img_00492.png,1,2.4,2.8,2.2,2,training
img_00493.png,3.4,1.4,3.2,2,2.4,training
img_00494.png,3.6,2,2.6,2.4,3,training
img_00495.png,4.2,3.4,4.8,5,2,training
img_00496.png,4.8,3.2,4.2,4.4,4.8,training
img_00497.png,3.8,2,3.2,2.2,3,training
img_00498.png,5,4.4,4,4.8,3,training
img_00499.png,1.8,2.6,2.6,1.8,3.8,training
img_00500.png,4.8,2.6,2.8,1.6,2.4,validation
img_00501.png,1,2.8,3.8,1.2,1.8,training
img_00502.png,4.6,3.6,4.4,3.8,3,training
img_00503.png,2,2.8,3.6,2.6,3.8,training
img_00504.png,2.4,2,3,2.6,1.8,training
img_00505.png,1,2.6,1.2,1.6,1.6,training
img_00506.png,1.4,2.4,2.8,2.4,2.4,training
img_00507.png,2.6,2.2,4.6,3.4,1.2,training
img_00508.png,2,2.8,2.4,2,3,training
img_00509.png,2,2.2,4,2.2,2.6,training
img_00510.png,4.4,2,3.6,4.4,3.2,training
img_00511.png,1.2,2.2,4.6,3.4,2.8,training
img_00512.png,2,2.8,2.2,2,2.4,training
img_00513.png,5,2.6,3,4.8,4,training
img_00514.png,2.8,1.6,2.8,1.2,1.8,training
img_00515.png,1.6,3,4.8,2.4,2.4,training
